pointA_x_significand,pointA_x_exponent,pointA_y_significand,pointA_y_exponent,pointA_z_significand,pointA_z_exponent,pointB_x_significand,pointB_x_exponent,pointB_y_significand,pointB_y_exponent,pointB_z_significand,pointB_z_exponent,constZ_significand,constZ_exponent
8383599445908526,-64,-6229675340777985,-63,9007196270006044,-53,8417447022647967,-65,-6008308294895030,-64,9007198542530222,-53,9007197687069621,-53
-6196207604282446,-64,5031379040363743,-62,9007193385999976,-53,-8669119490614516,-65,7560816524304035,-62,9007186900709968,-53,9007196483796753,-53
-4537013682628787,-63,4939680467091252,-63,9007196873257980,-53,5671982115354776,-65,6887098158616839,-65,9007198991355093,-53,9007198716187275,-53
5808704547100124,-64,-8767641227394020,-63,9007194738635745,-53,-7395727958543677,-64,-7716873423296400,-63,9007195378276223,-53,9007195199581558,-53
-7455119523558276,-63,-7134146193424485,-65,9007196144022029,-53,8034762128565117,-64,6306115377683447,-64,9007197874017710,-53,9007196963348715,-53
-8800275230292271,-66,-6676495815315854,-62,9007189751425412,-53,8557549124313882,-63,4866749805652742,-62,9007190362337934,-53,9007189949447211,-53
4820507327770929,-64,6859603596804217,-62,9007188983085876,-53,8592956523712115,-63,-6031291750469784,-63,9007193419985362,-53,9007190979468754,-53
-8560340100831397,-63,5297888899156497,-62,9007189431804142,-53,-8136997949207982,-64,-6546767536652515,-64,9007197811199524,-53,9007192155503380,-53
-5165291445004994,-62,-5805277542732270,-62,9007186468455528,-53,-5057288979215594,-65,-7223768617058125,-65,9007198997458023,-53,9007194425109784,-53
-5100559101334235,-63,-4986008277460581,-62,9007192613109935,-53,8150903416401914,-65,-5660123117058020,-62,9007192250818627,-53,9007192957131274,-53
6475490595398915,-63,8856443849716966,-67,9007197018659950,-53,-6528994985799257,-64,-6275711816520290,-63,9007196605565508,-53,9007197420165028,-53
-6736703303798566,-64,-6526036515041457,-68,9007198651897892,-53,-7288135249503211,-62,4619016988450343,-63,9007186877305807,-53,9007198887244582,-53
4809315777589989,-62,-4961995733614973,-65,9007194275408229,-53,-5405896674744235,-62,5216885269251023,-65,9007192976325793,-53,9007195170035880,-53
7556624560566516,-63,-8718512883434691,-64,9007195225738331,-53,4770510954414680,-64,5490873271463906,-65,9007198853787388,-53,9007196233314906,-53
8750398790501933,-63,-6675028747731912,-62,9007185766074566,-53,7301737381987017,-64,-5643598875411428,-63,9007196862981658,-53,9007188703760605,-53
-4885115684398249,-62,-6734323807840140,-64,9007193601048389,-53,-4685910023822310,-62,5002060191048616,-62,9007189306681048,-53,9007194229923115,-53
8226569802796557,-63,-6295645807441906,-63,9007193573710036,-53,5313501235780953,-63,-8617992443960058,-64,9007196777129903,-53,9007195752213570,-53
-4528038559683871,-62,6878979890616006,-65,9007194756462582,-53,-5412966205176765,-65,5561021196849590,-63,9007197520641006,-53,9007195816420594,-53
7922911023701857,-63,6797012131159243,-65,9007195778729925,-53,-7108292386199960,-66,7431715617990045,-65,9007199030203301,-53,9007196498159647,-53
5754071043657953,-62,8062151534125827,-63,9007188802580146,-53,-7650019870668506,-69,7348376862301449,-65,9007199075318080,-53,9007194319271733,-53
7788497907628752,-63,5626519283421096,-63,9007194367443263,-53,-5394474872629088,-62,8443600620325553,-65,9007192856604622,-53,9007195638270274,-53
-4684888581168723,-62,5145302021244339,-63,9007193205501922,-53,-5098430574654140,-62,5746823237082579,-62,9007186756767189,-53,9007193312731287,-53
4773154204211574,-65,-6349435313180825,-62,9007190642251305,-53,-5994080160716899,-82,-4838645357404342,-64,9007198944879276,-53,9007193460194922,-53
