nx,nNorm,sSquare,s,znxnz,sny,znxnzsny,nxSquarenySquare,px
-0.0001904172360262709,1,4.925115850708653e-08,0.0002219260203470664,-2.60002403210438e-09,-2.547694869236472e-08,-2.80769727244691e-08,4.943759985409888e-08,0.5679275047196944
-3.330557185233386e-05,1,1.00882165867711e-09,3.17619530047683e-05,3.41106652793224e-10,-6.702872735653054e-11,2.740779254366934e-10,1.113714678893888e-09,-0.2460934839333359
1.7083787996582e-05,1,3.920997005089135e-10,1.980150753121877e-05,2.857348871357337e-10,3.859954448637368e-10,6.717303319994706e-10,6.718420333222086e-10,-0.999833738710593
3.182646748528787e-06,1,1.147881096699355e-10,1.071392130220936e-05,-5.13989684022297e-11,2.048219002755554e-10,1.534229318733257e-10,3.756027284173213e-10,-0.4084712923141013
-1.635693613299412e-06,1,1.268381863908415e-11,3.561434912936659e-06,1.589124370264446e-11,-3.638860371012807e-11,-2.04973600074836e-11,1.070707484997567e-10,0.1914375335438155
-2.371839662687917e-05,1,3.153971174008381e-09,5.61602276883595e-05,2.893982077579912e-10,2.939859760509294e-09,3.229257968267285e-09,3.302845915865489e-09,-0.9777198363251771
-1.448447852522973e-05,1,2.210987460139389e-10,1.486938956426722e-05,-6.990337894043344e-11,8.745143041774889e-11,1.754805147731545e-11,2.443898786959551e-10,-0.0718035115486388
1.10999723194228e-05,1,9.479445953762284e-11,9.736244632178407e-06,-6.404873636291371e-11,2.150794689277339e-11,-4.254078947014032e-11,1.280893308157482e-10,0.3321181334871185
5.885462451166589e-07,1,1.472701020160888e-10,1.213548936038794e-05,9.79721460078987e-12,2.498934240303729e-10,2.596906386311628e-10,4.243749065162297e-10,-0.61193683849738
1.330698792580625e-05,1,1.480204866060472e-10,1.216636702578248e-05,9.834145146413784e-11,6.150911473337538e-11,1.598505661975132e-10,2.026357084827095e-10,-0.7888568475637302
-9.160292111834472e-05,0.9999999999999999,1.542348953921771e-08,0.0001241913424487299,-1.056326681004723e-09,1.051261322537612e-08,9.456286544371393e-09,1.555646694603152e-08,-0.6078685203508698
1.392670795499135e-05,1,4.408371242330473e-10,2.099612164741496e-05,-1.776782535409368e-10,-4.249590645187465e-10,-6.026373180596833e-10,6.036060947968945e-10,0.9983950182982543
-1.351198220785554e-05,1,1.086618411662604e-09,3.296389557777728e-05,2.134648629240944e-10,-1.119621786361124e-09,-9.061569234370295e-10,1.33620122097402e-09,0.6781590296531006
-0.0002418036286410923,1,3.832835649653074e-06,0.001957762919674666,2.314932252349855e-09,-3.803534982771663e-06,-3.801220050519313e-06,3.832927303903151e-06,0.9917276663839802
-1.498097309302262e-05,1,1.332440385353476e-10,1.154313815802911e-05,-1.72855319624945e-10,-7.47612280465476e-11,-2.476165476714926e-10,2.663769565923357e-10,0.9295719526161789
-0.001394014949158083,1,2.782277271103886e-06,0.001668015968479884,6.335211950052744e-09,-1.527870073053834e-06,-1.521534861103781e-06,2.782297924365417e-06,0.5468626662081169
-7.603023576470024e-05,1,1.83160701169905e-08,0.0001353368764121239,8.029651624474731e-10,-1.521984024300136e-08,-1.441687508055388e-08,1.842760757442289e-08,0.7823519695830826
-7.160472294957853e-06,1,7.295149260510028e-11,8.541164593022446e-06,7.631215851060745e-11,9.933478113677624e-11,1.756469396473837e-10,1.865320873269902e-10,-0.9416446369330289
-6.001109185698594e-06,1,3.651323346823341e-10,1.910843621760646e-05,-7.119154146042512e-11,-4.141954910200443e-10,-4.853870324804694e-10,5.058646187404354e-10,0.9595196313374245
6.921167991963595e-06,1,2.071379923306776e-10,1.439228933598396e-05,7.664210287865159e-11,-2.416274583620719e-10,-1.649853554834203e-10,3.297621517517473e-10,0.5003162267318814
3.52799449733247e-06,1,3.067366502550467e-10,1.751389877368962e-05,3.543748151842279e-11,-3.481633414325384e-10,-3.127258599141156e-10,4.076317099196109e-10,0.7671774602024663
