nx,nNorm,sSquare,s,znxnz,sny,znxnzsny,nxSquarenySquare,px
-1.8590801417185009575222523002120451e-01,9.9999999999999999999999999999999981e-01,4.6937832170621095223626156306848499e-02,2.1665140703586740201124030959977233e-01,-2.4778385523593451331651140049686973e-03,-2.4282816495331276767563749342172121e-02,-2.6760655047690621900728863347140817e-02,4.7124261191365791619952618394218772e-02,5.6787426202861651680917104055941613e-01
-3.3288001140027019510351756622716724e-02,9.9999999999999999999999999999999981e-01,1.0076495111955949494701739556098601e-03,3.1743495573039761707014389221760633e-02,3.4073318377997310618599764220911976e-04,-6.6956678912823478117450010440811846e-05,2.7377650486714962806854763176830792e-04,1.1125401828278356538821321712851049e-03,-2.4608235198414962355480669104712569e-01
1.7079186726603350067564477688320025e-02,9.9999999999999999999999999999999981e-01,3.9174325769712434591702016695809255e-04,1.9792505088975582878477631264795706e-02,2.8555087547059094376758527996462758e-04,3.8570771447423848272734184919248144e-04,6.7125858994482942649492712915710902e-04,6.7146377941237465475974624295398792e-04,-9.9969441468946426575917017477260035e-01
3.1827795452584501192719450111540666e-03,1.0000000000000000000000000000000000e+00,1.1473002695434138925616110410605886e-04,1.0711210340308950783617309373058260e-02,-5.1389163779328193537827493418165842e-05,2.0474703216626538231818265377139225e-04,1.5335786838693718878035516035322641e-04,3.7552132883090377927840457478063106e-04,-4.0838657251341857811176425517071337e-01
-1.6357156884438977847866042468792276e-03,9.9999999999999999999999999999999981e-01,1.2681995095703695592590223608045548e-05,3.5611788912807645688012412270798503e-03,1.5890356596737642181646039552412958e-05,-3.6385138163586927623232654059278153e-05,-2.0494781566849285441586614506865195e-05,1.0706594518139670738081901393753235e-04,1.9142203930601796669663017321550278e-01
-2.3680428546314026978686369664679586e-02,9.9999999999999999999999999999999981e-01,3.1434486046142427953953594128136125e-03,5.6066465954385271878154902711219270e-02,2.8845148384834875770630853378391642e-04,2.9302724089115425439319882149888177e-03,3.2187238927598913016382967487727339e-03,3.2923156720070271498428726312321312e-03,-9.7764741094760406279415586311608898e-01
-1.4482827639053223841268212757142854e-02,1.0000000000000000000000000000000000e+00,2.2104317104459345309984066661446736e-04,1.4867520675774876927293737641364174e-02,-6.9886599152321875524751391540808779e-05,8.7430408488326248953945362809911487e-05,1.7543809336004373429193971269102708e-05,2.4433412173887119754975607387259982e-04,-7.1802535033375663409595502794869033e-02
1.1099449124530339723114707588712201e-02,1.0000000000000000000000000000000000e+00,9.4782663021605898709022630796706755e-05,9.7356388091180693056260182400412914e-03,-6.4041148523835261403558355485020328e-05,2.1505136817773350045047510039525951e-05,-4.2536011706061911358510845445494377e-05,1.2807704830979615918049653012998821e-04,3.3211267957374125933495016037901666e-01
5.8862945451881913701076663920355386e-04,1.0000000000000000000000000000000002e+00,1.4715092796186154664120191181136070e-04,1.2130578220425502315462620197790400e-02,9.7962846784325205340216064858882979e-06,2.4975322147537551683993889876358379e-04,2.5954950615380803737396050524947208e-04,4.2424236148230437593466146211168006e-04,-6.1179535501108636455946424711652305e-01
1.3306301107725987918622919894183593e-02,1.0000000000000000000000000000000000e+00,1.4800418584951289082324813553770527e-04,1.2165697096735266440777555209926770e-02,9.8324494748796139689116150146359100e-05,6.1505543551313037395710116730448655e-05,1.5983003830010917708482626687680775e-04,2.0261727686397883982050483282997706e-04,-7.8882729436447011794326720803288278e-01
