nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-8153239738336557,-53,4503599627370496,-52,7618102255900650,-54,5857378464888922,-53,-8663651196440036,-56,-4510413721986350,-54,-6676326521096359,-54,8715472532044872,-53,6899798380882217,-54
-5081502613161775,-53,9007199254740990,-53,7556891122965280,-57,8250237820265043,-55,4802276068702258,-54,8124283726277255,-56,6833347000271572,-54,5050350564275404,-53,-6093568874566181,-53
4780399454912606,-53,9007199254740990,-53,4860776043350648,-54,4678780736213807,-53,5640530060601530,-55,7054578925523936,-54,4937421977912350,-53,7656358874751334,-53,-5808550028454394,-53
8411032558294682,-58,4503599627370497,-52,8202457121411440,-56,6077876507096128,-54,-7129387884614611,-59,5031514017373815,-54,4808720645979608,-54,6180487221193097,-53,-7008040542532483,-54
-8838165009695748,-57,9007199254740991,-53,5178502035857904,-57,6829626613370165,-55,8513786583514541,-58,-4988218339176162,-55,-7847990032473689,-56,4838802787106823,-53,7304328475636964,-55
-7576235140058955,-54,4503599627370496,-52,7788014568883926,-54,5922339023593773,-53,8693473847486794,-57,5244588930071804,-53,5787931045539729,-53,8656752510532175,-53,-6022240804094885,-53
-7833898037598149,-53,9007199254740991,-53,8008395006470246,-54,6005547832377588,-53,-6897689351261754,-55,8831968789691744,-55,7737117753719960,-57,8030963830359771,-53,-8677633561453577,-57
7271410857727326,-53,4503599627370496,-52,5227616049267750,-54,4852122184314639,-53,-4941778167548339,-54,6006839323310824,-55,-7753434023571708,-56,6732904973957513,-53,5186225368464500,-55
7343069402419217,-53,4503599627370496,-52,6854962535583744,-55,7857735897940788,-54,5857650889885427,-54,-4903868712932303,-61,5819339415565643,-54,5986610857030053,-53,-8755529781164229,-54
-8961549913930866,-54,9007199254740990,-53,6836088909331582,-54,5548604100558743,-53,-8247913938401028,-56,8949608818721783,-54,6887630334121526,-54,8087316795415508,-53,-7671055849771923,-54
7998430854987261,-56,4503599627370496,-52,6251289749859008,-58,5305968920758020,-55,7821770032617900,-57,7387039514573285,-56,5648962265441118,-55,8951092610677409,-54,-5684370715441696,-54
4568902691182184,-53,4503599627370496,-52,5244780141669046,-54,4860081263894761,-53,-5572430377410220,-55,-7331856013790030,-54,-5059035601247570,-53,7442301405744739,-53,6122802505968296,-53
-6116872468924994,-53,9007199254740991,-53,7618521169072816,-57,8283811815601628,-55,5674939897523285,-54,-6638671174921946,-56,8030544207585597,-55,5600235719343660,-53,-6458006004272877,-54
-8919039757408450,-56,4503599627370496,-52,4504941025340215,-53,6370000113508359,-53,6860538786084025,-64,-6320957581654009,-53,-6317607709199866,-53,9007036563133151,-53,6317721822398887,-53
5679496231652475,-60,4503599627370496,-52,5928451328750212,-55,7307444313170450,-54,-7444208150741671,-62,-6702675041241134,-54,-6731753979329969,-54,7578226767250627,-53,8001113095183697,-54
-6995527697787871,-53,4503599627370496,-52,6598311507836080,-56,5451252447645864,-54,-6285896763206434,-54,-8438755968584303,-58,-6813319011242953,-54,5517460478697934,-53,5561337698504242,-53
-7409644078611686,-53,4503599627370496,-52,5010939209799753,-53,6718223568478557,-53,8982870563943749,-59,-7629964379277690,-54,-7349249674154448,-54,8999901399205327,-53,7355209046378487,-54
-6575543868914076,-53,4503599627370496,-52,8991800960673128,-57,8999496814364364,-55,6159966974831822,-54,4789082603362398,-57,6758602300252122,-54,4959775806966760,-53,-6136978763880008,-53
-6642740996271732,-53,4503599627370496,-52,4895621327611124,-55,6640469619955581,-54,5518858378805829,-54,-5019558838011884,-55,6018157919599774,-55,6185629487730924,-53,-8763335669530597,-55
-5834716958102332,-54,9007199254740991,-53,7208261142507214,-54,5697641810028489,-53,4985136008428288,-56,-5114313384103861,-53,-8982342766100650,-54,8202193278456863,-53,4931958338579367,-53
5147977995479150,-53,4503599627370497,-52,4830685720520352,-56,4664276408070113,-54,-4775676698288408,-54,-4723812876943395,-55,-7137583136760106,-54,5251929479004170,-53,6120572807297824,-53
5705135249586686,-53,4503599627370496,-52,5362591300006992,-55,6949958874763469,-54,-4569258695220471,-54,7829727826300721,-55,-5235158256560884,-57,6471593400166566,-53,7286322027853711,-57
-4746944084599183,-53,9007199254740991,-53,6621594995351224,-56,5460861905749139,-54,8552086197438053,-55,6232919072204408,-55,7392502634821230,-54,5435247495246246,-53,-6125364510196597,-53
-6877461363745464,-53,9007199254740990,-53,8423843849162464,-58,6159352240302167,-55,-6530289913565054,-54,8898592881116682,-58,-5974127858495261,-54,5545049652045846,-53,4852090005624445,-53
-6100797955787793,-54,4503599627370496,-52,8456028362347768,-55,8727263738618623,-54,-8671004797615653,-56,-7007217762309978,-54,-4587484480856946,-53,6839693797638916,-53,6041262667544339,-53
-5337008007252306,-55,9007199254740991,-53,6242966360049816,-56,5302435381294796,-54,-4836587279165600,-56,-8064656037630253,-55,-5241474838606526,-54,5406601284402022,-53,8732104658104443,-54
