nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-6801213543739392,-77,-7655144397058434,-126,5135567368817596,-101,7979830161900928,-156,7046485119230378,-141,-5486563022602240,-195,7966749369377409,-97,4689242060836391,-151,-8360508057050678,-122,-7083537728273732,-175,5419689011657918,-129,8307461820448593,-183,-8318166736647101,-122,5135567368814501,-101,7294557723661452,-73
6514687131027054,-72,7687389527680276,-127,7653125916104196,-90,-7876780037988963,-145,5936418386241277,-129,-8392572254814208,-183,7312352785826403,-91,-5165998355215806,-144,5373040044619967,-111,6103526417962720,-164,7930474248173178,-110,5969049113611227,-165,5308497135241581,-109,7653125916101410,-90,-6247733535880462,-72
-4664311065304256,-78,6130251474458108,-126,7823754913448241,-91,6854905496664000,-146,6433270060929420,-131,-5360119185408000,-185,7612210276808636,-92,-6359484044801853,-146,4654603888604952,-117,-5519896226062790,-171,7094260680316790,-111,4610048247295119,-164,7166988866076243,-111,7823754913440083,-91,-8251088829784737,-73
-5466676787484624,-76,5953392241846514,-125,5406117492268572,-92,-5747128929133479,-146,6395015565002933,-134,-5427189394702336,-189,5366618089223019,-93,4700873307931050,-147,8134732554017539,-116,6729249428911523,-170,-5865700478512293,-113,-7386612011657730,-169,-4848858909260101,-113,5406117492259502,-92,8078743833511814,-74
-5487239854569558,-72,6813918555105044,-127,8901942741663279,-90,-7734838636780256,-146,8807222792815540,-129,6502511766667264,-184,8906649795281389,-91,6313518038789882,-146,4743676068671675,-112,-6910412182496870,-166,5642727133554923,-109,4578370547873580,-163,6235686642138883,-109,8901942741662514,-90,-6309417360438134,-72
-5934924406030986,-71,8450750137234012,-126,4614333527608359,-89,-6047900791858568,-143,4733370847621168,-128,7318349394477056,-188,4617056116786221,-90,5123874253485810,-144,-8047004480263223,-111,8724493019743960,-165,5162286603254707,-110,8154415027954198,-166,4555137452492383,-112,4614333527607417,-89,-8891648256862390,-76
5276384487762370,-71,-6782423430245696,-128,7197371870978644,-90,-8716277434189366,-145,5770987795997484,-129,-5758142394662912,-183,7209745971615636,-91,4744816675710501,-145,-5360650408979549,-110,-6419056386711144,-163,6847484356436484,-111,8797358120048194,-165,-7747632923045230,-112,7197371870974416,-90,4847913567720935,-74
4663729588091942,-71,-8509459190508920,-125,4859011773884919,-90,6733708991729504,-148,5471925842715454,-130,-4925812092436480,-191,4964208213426619,-91,5343534301264497,-146,5033535618546849,-110,6822645418007674,-166,-6423865936808513,-114,7249471940973657,-168,4632043997496317,-110,4859011773880148,-90,-8586466792785635,-73
6427445052375040,-87,7417311168796644,-127,6786496808642863,-97,-8305476383897264,-153,5331443572754873,-137,-6570131731775488,-192,6929745635678942,-95,-4532367326237780,-150,6385270139390080,-129,6742290174292521,-183,6015132860910568,-117,6409912501199554,-171,6016691764753193,-117,6786496808634778,-97,-7985495773097284,-73
5140510577089112,-75,-5854646151265666,-126,8169758597968452,-93,4820049182022315,-148,6977345057589033,-135,-7459086882832384,-193,7927568177113754,-94,-7723603161001367,-148,6908548297767090,-115,-4691844196479201,-169,7464841873921109,-114,4820693401059167,-170,5459558011402327,-113,8169758597953656,-93,-6019189705780974,-73
6330176937999953,-72,-5365446602630628,-125,7200989660508188,-90,-7005664140634308,-144,5668004213605526,-129,6627856092233728,-183,7145127243699478,-91,-5937720023689712,-150,-5567999693388569,-111,-5248501532759756,-165,-7510973152173276,-110,-5556723617767832,-167,-5147486499433780,-109,7200989660505019,-90,6438620071319146,-72
-6596282955726824,-74,5929395298275324,-128,4923229257275420,-89,-4675684561284156,-143,5277716826827236,-128,-5945059371384832,-182,4875317788069424,-90,-5485243625942756,-143,7578542264572050,-120,7189593113452740,-178,-7153327988300552,-109,8730140600521406,-163,-7149627528210428,-109,4923229257275420,-89,6540231662846777,-72
-6670406526866192,-76,-6128391469834543,-126,7665237870551001,-90,-6251858846264840,-144,5052865926241662,-129,5765289220243456,-183,6746270836925394,-91,-7753658095439451,-146,5640695272914917,-115,-5955916511933746,-168,-8795756744175940,-110,6401181264706710,-163,-8619485016897348,-110,7665237870548072,-90,5064253734300472,-72
